category,date,contents,title
모두의공원,2019-02-04,몇달 전에 Giga프리미엄 요금제위 2.5기가 속도가 1기가+1기가+500메가 속도를 따로따로 즐기는 거라 완전 개구라다ㅜㅜ 하면서 칭얼댔던 적이 있습니다. 그런데 그후로 몇달만에 10기가 인터넷이 상용화...,"<span>엥, SK<b>브로드</b><b>밴드</b>도 10기가 인터넷 상용화 되었군요 ㄷㄷ : 클리앙</span>"
모두의공원,2019-01-30,"집에서 인터넷을 SK ,로 하고 있습니다. 얼마전 전화가 와서 가디언 서비스를 1달간 무료로 체험하게 해준다고 했습니다. 회사에서 회의 중에 받은 전화라 알았다고 하고 금방 통화를 종료했습니다. PS4...",<span>SKB는 저에게 절망을 안겨주고 있습니다. : 클리앙</span>
모두의공원,2018-04-24,"sk , 쓰고있는데 평소에 1유선데스크탑에 무선공유기로 3~4 노트북, 핸드폰등을 연결해 쓰고있는데 갑자기 2기기만 연결해야 된다고 나머지 장비들 인터넷을 끊어버리네요 가입시 2회선만 가능이라고...",<span>sk<b>브로드</b> <b>밴드</b> 회선 갯수 문의</span>
모두의공원,2018-04-24,"기가라이트 지원하는 허브로 교체를 해도 11시나 12시쯤에 끊키는건 그대로네요... 이거 느낌상 SK, 회선문제는 확실한데 기사를 불러도 공유기가 싸구려라서 그렇다 이런소리만 하는게 정말 욕이...",<span>새벽시간 인터넷 끊킴 골때리네요....</span>
모두의공원,2018-04-18,"비정규직 노동자들을 고용한 사례들이 있지만 이로 인해 또 다른 문제를 낳고 있는 경우도 있다. SK,는 지난해 서비스기사들 5200여명을 자회사 홈앤서비스를 세워 직접고용했다. 하지만 홈앤서비스가...",<span>재계에 불어닥친 '삼성 8000명 직접고용' 후폭풍</span>
모두의공원,2018-04-18,"SK , 쓰는데 부모님께서 약정이 끝난는데도 귀찮아서 무약정으로 쓰고 계셨더군요. 재약정 걸겸 전화해서 해지방어를 해봤는데 5만원 상품권 받았습니다. 크게 기대를 안했는데 상품권 온다니 걍...",<span>해지방어....</span>
모두의공원,2018-04-14,"엘지 유플에서 IPTV와 인터넷 사용한지 거의 4년이 넘은거 같은데 이번 기회에 바꿀려고 KT 와 SK , 알아보니 예전에는 설치비 다 무료였는데 지금은 TV 2대와 인터넷 다 설치하는데 설치비만 5만원...",<span>요즘 인터넷+TV 비용이 많이 비싸네요..</span>
모두의공원,2018-11-09,"결합이야 어느통신사든 다 잘되어 있으니까 지금 통신사를 굳이 유지할 필요는 없을것 같은데요. SK,는 서비스가 불만족스러웠어서 KT로 한번 가볼까 하는데 장점이 있을까요? 현금지원도 3사중에선 KT...",<span>인터넷 가입자 바꾸려고 합니다. KT장점좀 말씀해주세요. : 클리앙</span>
모두의공원,2018-11-09,"타사 장비보다 30억원가량 비싸다""고 귀띔했다. 당초 입찰에 참여한 KT와 함께 입찰에 참여한 LG유플러스는 KT와 마찬가지로 화웨이 장비를 내세웠고, SK,는 노키아 전송장비를 제안한 것으로 전해진다",<span>NH농협 통신망 구축에 화웨이 장비 사용 논란…KT '보안 문제없다' : 클리앙</span>
모두의공원,2019-02-21,"21일 익명을 요청한 양사 관계자는 ""이날 오후 SK, 지주사인 SK텔레콤과 티브로드 지주사인 태광그룹이 인수 확정을 위한 협상을 진행할 예정""이라고 밝혔다. 이번 인수로 SK,는 전체 유료...","<span>[속보] SKT, 21일 티브로드 인수 확정 : 클리앙</span>"
